Year,Temperature
07/1996,91.19354839
08/1996,88.03225806
09/1996,81.93333333
10/1996,73.64516129
07/1997,87.25806452
08/1997,85.80645161
09/1997,82.93333333
10/1997,70.74193548
07/1998,89.70967742
08/1998,86.77419355
09/1998,83.96666667
10/1998,76.58064516
07/1999,87.64516129
08/1999,91.61290323
09/1999,83.13333333
10/1999,71.03225806
07/2000,91.74193548
08/2000,91.06451613
09/2000,78.43333333
10/2000,74.70967742
07/2001,86.74193548
08/2001,86.74193548
09/2001,80.7
10/2001,72
07/2002,89.25806452
08/2002,89.16129032
09/2002,83.76666667
10/2002,72.16129032
07/2003,85.58064516
08/2003,86.87096774
09/2003,80.63333333
10/2003,72.80645161
07/2004,87.83870968
08/2004,85.16129032
09/2004,79.56666667
10/2004,74.41935484
07/2005,86.93548387
08/2005,87.03225806
09/2005,85.83333333
10/2005,73.70967742
07/2006,90.19354839
08/2006,89.74193548
09/2006,81.03333333
10/2006,71.16129032
07/2007,86.41935484
08/2007,96
09/2007,84.26666667
10/2007,74.87096774
07/2008,89.16129032
08/2008,86.25806452
09/2008,83.1
10/2008,71.5483871
07/2009,86.64516129
08/2009,87.58064516
09/2009,80.43333333
10/2009,69.29032258
07/2010,91.25806452
08/2010,91.35483871
09/2010,88.9
10/2010,77.38709677
07/2011,91.93548387
08/2011,93.48387097
09/2011,82.76666667
10/2011,72.83870968
07/2012,94.09677419
08/2012,87.64516129
09/2012,83.7
10/2012,73.12903226
07/2013,84.70967742
08/2013,84.96774194
09/2013,83.26666667
10/2013,73.77419355
07/2014,86.61290323
08/2014,88.25806452
09/2014,83.66666667
10/2014,77.22580645
07/2015,90.06451613
08/2015,88.77419355
09/2015,81.4
10/2015,72.90322581
